,Date,0-100,101-200,201-300,301-400,401-500,501-600,601-700,701-800,801-900,901-1000,1001-1100,1101-1200,1201-1300,1301-1400,1401-1500,1501-65535
19,2009-11-19,37.9253180711,5.15847011315,2.41187700152,2.50654191469,0.863236910928,1.37780886675,0.727249714657,0.453515333619,0.824498440725,0.343796901821,0.960803932788,0.744418964138,1.01422145598,1.19304752119,43.4915999868,0.00359487012034
20,2009-12-17,45.7975646462,4.60763147541,2.7188976024,3.33756212404,1.58752701672,1.80008043852,0.947141707453,0.767129685434,1.23726937079,0.605277992267,1.41238824834,1.22119757921,1.49499487015,1.13767597916,31.3200629664,0.00759829750398
21,2010-01-21,42.1210521471,6.2224203893,2.74235374469,4.36711629992,1.34806602565,1.55514654878,0.936722968647,0.603916771605,0.837659808337,0.500218102363,1.32333775319,0.970088628263,1.25633964207,1.01077439011,34.201301811,0.00348496894543
22,2010-02-25,47.0523410107,6.4647198576,3.11834077725,3.5307525834,1.20001377845,1.39172257141,1.36020064992,0.445544517651,0.4082485335,0.380319912809,0.718164532039,0.669469110871,1.00741285564,0.897978260282,31.3491208928,0.00565015573861
23,2010-03-25,28.2115872973,3.76455243746,2.49890459192,3.68701010916,0.974716882162,1.36305671466,0.996350210208,0.536082506608,1.21103448926,0.461641871444,1.19108942456,0.680213082392,1.33541631004,0.860386117607,52.2137843954,0.0141735597543
24,2010-04-14,24.3240653993,3.20790179596,3.25913517795,7.88039264187,1.15690039,1.70207612146,0.964751176862,0.607911792713,1.83719255165,0.520087715139,0.985962245579,0.718292656356,1.57589909939,1.32351301437,49.9339637272,0.00195449424738
50,2010-06-17,57.3232464803,3.64693303728,1.59546146836,1.93517621625,1.17153741828,1.17216814888,0.812334989845,0.630565470012,0.583249847251,0.557471102726,0.990165827195,0.643469730765,0.920658232617,1.34024567146,26.6773136518,2.70699826998e-06
51,2010-07-15,46.8335485252,5.67735536332,1.45923526453,1.4272458217,0.983099195567,1.18930080422,0.740808414042,0.725664769468,0.577072778192,0.546318526529,1.16294001708,0.649484605187,1.01806364152,1.26587261448,35.7439896589,0.0
25,2010-08-19,39.6370524844,3.89186374088,0.953386991319,0.819131376004,0.844851407803,1.15863087796,0.92348683963,0.510023804553,0.923585195392,0.568963495013,1.09388819753,1.4480181191,1.78004258313,1.16807303112,44.2790018562,0.0
26,2010-09-16,41.8393734068,3.33249320079,0.770080055928,0.832237431049,0.84270800474,0.776740726216,0.561840860068,0.462490302064,0.5732439276,0.449435388301,0.899030632689,1.5721846146,1.19271290699,1.05768779893,44.8377407433,0.0
27,2010-10-29,45.5795852716,5.20507586873,1.44390452799,1.43713513331,0.923139409797,1.07099917737,0.838264444932,0.678668607226,0.979575558953,0.49166407909,1.72858700659,0.951283903998,2.04119323826,1.10926097341,35.5216627988,0.0
52,2010-12-17,62.3909760358,4.103053046,1.64968964731,1.56996447657,1.08652315528,1.63184651703,0.653896399826,0.621729145617,0.492583893725,0.574596133422,0.863810547192,0.706185298156,0.955264788546,1.17087379466,21.5290071209,0.0
